Stkcd,聚类标签,Stknme
000002,2,万科A
000061,1,农产品
000063,2,中兴通讯
000069,0,华侨城A
000100,0,TCL科技
000333,2,美的集团
000513,2,丽珠集团
000625,1,长安汽车
000651,1,格力电器
000661,1,长春高新
000681,2,视觉中国
000723,1,美锦能源
000725,1,京东方A
000858,1,五粮液
000895,0,双汇发展
000910,0,大亚圣象
000937,1,冀中能源
000999,0,华润三九
001979,0,招商蛇口
002008,0,大族激光
002024,0,ST 易购
002065,2,东华软件
002142,0,宁波银行
002202,0,金风科技
002230,0,科大讯飞
002241,1,歌尔股份
002271,1,东方雨虹
002304,1,洋河股份
002368,2,太极股份
002371,1,北方华创
002387,1,维信诺
002415,1,海康威视
002460,2,赣锋锂业
002466,1,天齐锂业
002475,1,立讯精密
002594,2,比亚迪
003816,1,中国广核
300002,1,神州泰岳
300003,0,乐普医疗
300012,1,华测检测
300014,1,亿纬锂能
300015,1,爱尔眼科
300027,0,华谊兄弟
300037,1,新宙邦
300059,1,东方财富
300070,0,碧水源
300122,0,智飞生物
300124,1,汇川技术
300136,0,信维通信
300142,1,沃森生物
